,subst_name,synonym,casrn,N,Nh,role,delta_d,delta_p,delta_h,mol_vol,src_id,src_ref,boil_pt,flash_pt,chem21_safety,chem21_health,chem21_env,chem21_rank,prop_src_id
55,Dimethyl sulfone,Sulfonylbismethane,67-71-0,5,11,solvent,19,19.4,12.3,75,1,A1.302,,,,,,,
56,Dimethyl sulfoxide,DMSO,67-68-5,4,10,solvent,18.4,16.4,10.2,71.3,1,A1.303,189,95,1,1,5,2,2
57,Bis(2-ethylhexyl)hexanedioate,Dioctyl adipate,103-23-1,26,68,plasticizer,16.7,2,5.1,400,1,[A1.1142],,,,,,,
58,Bis(2-ethylhexyl) phthalate,Dioctyl phthalate,117-81-7,28,66,plasticizer,16.6,7,3.1,377,1,[A1.305],,,,,,,
59,Dioxane,para-Dioxane,123-91-1,6,14,solvent,19,1.8,7.4,85.7,1,A1.306,101,12,7,6,3,3,2
60,Dipropylamine,"1-Propanamine, N-propyl-",142-84-7,7,22,solvent,15.3,1.4,4.1,136.9,1,A1.308,,,,,,,
61,Dipropylene glycol,Oxybispropanol,25265-71-8,9,23,solvent,16.5,10.6,17.7,130.9,1,A1.309,,,,,,,
62,Dipropylene glycol monomethyl ether,Dipropylene glycol methyl ether,34590-94-8,10,26,solvent,15.5,5.7,11.2,157.4,1,A1.310,,,,,,,
63,Epichlorohydrin,Glycidyl chloride,106-89-8,5,10,solvent rx,18.9,7.6,6.6,78.4,1,A1.318,,,,,,,
64,Distilled spirits,Absolute ethanol,64-17-5,3,9,solvent,15.8,8.8,19.4,58.5,1,A1.325,78,13,4,3,3,1,2
65,2-Aminoethanol,Ethanolamine,141-43-5,4,10,solvent,17,15.5,21.2,59.8,1,A1.326,,,,,,,
66,"Acetic acid, ethyl ester",Ethyl acetate,141-78-6,6,14,solvent,15.8,5.3,7.2,98.5,1,A1.328,77,-4,5,3,3,1,2
67,Ethyl acrylate,Ethoxycarbonylethylene,140-88-5,7,15,solvent rx,15.5,7.1,5.5,108.8,1,A1.330,,,,,,,
68,Ethylbenzene,Phenylethane,100-41-4,8,18,solvent,17.8,0.6,1.4,123.1,1,A1.333,,,,,,,
69,Ethyl lactate,Ethyl 2-hydroxypropionate,97-64-3,8,18,solvent,16,7.6,12.5,115,1,A1.353,155,48,1,4,5,2,2
70,Ethyl butanol,Pseudohexyl alcohol,97-95-0,7,21,solvent,15.8,4.3,13.5,123.2,1,A1.360,,,,,,,
71,2-Ethylhexanol,Octyl alcohol,104-76-7,9,27,solvent,15.9,3.3,11.8,156.6,1,A1.345,,,,,,,
72,"1,3-Dioxolan-2-one",Glycol carbonate,96-49-1,7,13,solvent,19.4,21.7,5.1,66,1,A1.363,248,143,1,2,7,2,2
73,Ethylene cyanohydrin,2-Cyanoethanol,109-78-4,5,10,solvent rx,17.2,18.8,17.6,68.3,1,A1.365,,,,,,,
74,"1,2-Dichloroethane",Ethylene chloride,107-06-2,4,8,solvent,19,7.4,4.1,79.4,1,A1.367,84,13,4,10,3,4,2
75,"1,2-Ethanediol",Ethylene glycol,107-21-1,4,10,solvent,17,11,26,55.8,1,A1.368,198,16,1,2,5,1,2
76,Butoxyethanol,Butylglycol,111-76-2,8,22,solvent,16,5.1,12.3,131.6,1,A1.375,,,,,,,
77,"Ethanol, 2-ethoxy-",Hydroxy ether,110-80-5,6,16,solvent,16.2,9.2,14.3,97.8,1,A1.376,,,,,,,
78,"Ethanol, 2-ethoxy-, acetate",Oxitol acetate,111-15-9,9,21,solvent,15.9,4.7,10.6,136.1,1,A1.377,,,,,,,
79,"Ethanol, 2-methoxy-",3-Oxa-1-butanol,109-86-4,5,13,solvent,16.2,9.2,16.4,79.1,1,A1.380,125,42,3,9,3,3,2
80,Formamide,Carbamaldehyde,75-12-7,3,6,solvent,17.2,26.2,19,39.8,1,A1.397,,,,,,,
81,Formic acid,Aminic acid,64-18-6,3,5,solvent,14.3,11.9,16.6,37.8,1,A1.398,101,49,3,7,3,2,2
82,Furfuryl alcohol,2-Hydroxymethylfuran,98-00-0,7,13,solvent,17.4,7.6,15.1,86.5,1,A1.405,,,,,,,
83,Glycerin,"1,2,3-Propanetriol",56-81-5,6,14,solvent,17.4,12.1,29.3,73.3,1,A1.406,290,177,1,1,7,2,2
84,Glycidyl methacrylate,"2,3-Epoxypropyl methacrylic acid ester",106-91-2,10,20,solvent rx,16.3,8.5,5.7,136.4,1,A1.407,,,,,,,
